,Epsilon 0.05,Epsilon 0.10,Epsilon 0.20,Epsilon 0.30,Epsilon 0.40,Epsilon 0.50
289,11.115,11.4075,10.5725,9.465,8.54,7.585
290,11.1725,11.475,10.5075,9.4675,8.405,7.405
291,11.1925,11.555,10.425,9.49,8.5125,7.45
292,11.175,11.4275,10.5925,9.3875,8.5025,7.5625
293,11.1925,11.4175,10.5025,9.3875,8.545,7.4625
294,11.1875,11.445,10.5225,9.5325,8.38,7.5
295,11.155,11.43,10.4075,9.665,8.5625,7.5225
296,11.2025,11.425,10.57,9.5875,8.555,7.475
297,11.2,11.36,10.535,9.4375,8.48,7.3975
298,11.1925,11.47,10.4325,9.6375,8.365,7.6075
299,11.225,11.5175,10.4675,9.6325,8.5975,7.3975
300,11.275,11.48,10.37,9.51,8.615,7.49
301,11.225,11.54,10.425,9.5075,8.47,7.365
302,11.32,11.4325,10.5375,9.5275,8.5375,7.45
303,11.225,11.43,10.395,9.4575,8.4,7.515
304,11.2425,11.465,10.495,9.53,8.69,7.425
305,11.265,11.4525,10.4425,9.3625,8.3,7.495
306,11.3,11.385,10.49,9.6175,8.5375,7.38
307,11.285,11.4975,10.475,9.4775,8.25,7.4675
308,11.2925,11.5175,10.4725,9.435,8.42,7.5025
309,11.31,11.415,10.5475,9.505,8.4775,7.465
310,11.3475,11.4125,10.4725,9.56,8.3775,7.295
311,11.375,11.5275,10.5675,9.5225,8.44,7.62
312,11.3,11.43,10.545,9.4,8.4975,7.45
313,11.365,11.52,10.4725,9.555,8.4525,7.4375
314,11.3775,11.535,10.495,9.665,8.5475,7.655
315,11.34,11.3825,10.5325,9.4575,8.4075,7.5275
316,11.335,11.54,10.4725,9.4725,8.5025,7.54
317,11.3975,11.4875,10.6475,9.5425,8.5125,7.535
318,11.27,11.37,10.565,9.545,8.54,7.6025
319,11.37,11.4575,10.4875,9.59,8.465,7.5
320,11.405,11.455,10.47,9.5075,8.5825,7.4
321,11.4025,11.515,10.5075,9.615,8.4475,7.455
322,11.44,11.4275,10.4925,9.505,8.4575,7.4875
323,11.385,11.4375,10.4725,9.525,8.59,7.425
324,11.3825,11.475,10.7275,9.425,8.55,7.5825
325,11.39,11.5325,10.58,9.48,8.435,7.385
326,11.425,11.4675,10.5125,9.5625,8.515,7.4075
327,11.495,11.5025,10.4775,9.565,8.2775,7.5375
328,11.4225,11.5425,10.5525,9.45,8.505,7.61
329,11.46,11.4575,10.37,9.5525,8.5225,7.5725
330,11.485,11.565,10.4825,9.5175,8.46,7.3875
331,11.4775,11.49,10.44,9.4975,8.62,7.45
332,11.4575,11.4825,10.4925,9.5925,8.5275,7.64
333,11.445,11.5425,10.495,9.525,8.54,7.3825
334,11.4675,11.5225,10.59,9.4825,8.4825,7.4575
335,11.51,11.515,10.56,9.4325,8.36,7.5675
336,11.485,11.4875,10.5625,9.5175,8.6225,7.66
337,11.44,11.485,10.495,9.4825,8.53,7.5325
338,11.5125,11.495,10.465,9.6525,8.43,7.465
339,11.485,11.4975,10.435,9.4525,8.6225,7.5875
340,11.5275,11.55,10.6525,9.5775,8.3975,7.5225
341,11.525,11.515,10.5575,9.5025,8.3825,7.4625
342,11.515,11.5125,10.6075,9.5925,8.475,7.34
343,11.49,11.4625,10.4475,9.595,8.6675,7.5075
344,11.54,11.5125,10.5,9.43,8.4375,7.535
345,11.54,11.46,10.575,9.515,8.54,7.2725
346,11.49,11.4925,10.4225,9.4475,8.5275,7.5125
347,11.53,11.485,10.57,9.4225,8.4025,7.43
348,11.535,11.49,10.515,9.5625,8.655,7.61
349,11.5075,11.4925,10.4525,9.48,8.4375,7.4675
350,11.53,11.5525,10.42,9.595,8.495,7.515
351,11.535,11.49,10.5575,9.5025,8.4575,7.3375
352,11.565,11.4375,10.5175,9.3925,8.6025,7.385
353,11.54,11.505,10.5375,9.58,8.4625,7.54
354,11.56,11.565,10.57,9.43,8.4875,7.41
355,11.5275,11.535,10.5425,9.6275,8.5625,7.5025
356,11.5575,11.485,10.5,9.46,8.4775,7.49
357,11.55,11.48,10.53,9.465,8.41,7.45
358,11.5925,11.4325,10.4925,9.525,8.66,7.51
359,11.515,11.4875,10.54,9.4675,8.59,7.5075
360,11.6625,11.5,10.5175,9.405,8.55,7.4575
361,11.5425,11.4875,10.4625,9.315,8.4175,7.4625
362,11.585,11.505,10.5575,9.4825,8.435,7.4725
363,11.5625,11.52,10.495,9.575,8.595,7.4225
364,11.68,11.4825,10.625,9.4525,8.66,7.3875
365,11.5425,11.4725,10.4125,9.5275,8.535,7.5
